Agency,Organization,Account Type,Character Code,Object,2015,2016,2017,2018
50 -  LIBRARY,50100 - LIB PUBLIC SERVICE,Revenue,41 - GENERAL REVENUES,41110 - REAL ESTATE TAXES," 	(11,355,535)"," 	(11,941,627)"," 	(12,603,779)"," 	(13,080,448)"
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,58 - INTER DEPART BILLING,58186 - ID BILLING TO WATER," 	(108,871)"," 	(107,868)"," 	(111,504)"," 	(119,700)"
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,58 - INTER DEPART BILLING,58185 - ID BILLING TO TRANSIT," 	(107,060)"," 	(103,020)"," 	(110,292)"," 	(114,660)"
31 -  POLICE,31155 - TRAFFIC AND SPECIAL SERVICES,Revenue,49 - TRANSFER IN,49123 - TRANSFER IN FROM GRANTS," 	(105,113)", 	-   , 	-   , 	-   
19 -  MAYOR,19100 - MAYOR,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE," 	(102,500)", 	-   , 	-   , 	-   
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,58 - INTER DEPART BILLING,58191 - ID BILLING TO CDA," 	(101,284)"," 	(104,469)"," 	(103,487)"," 	(113,746)"
51 -  PARKS,51170 - PARK COM REC GOODMAN POOL,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS," 	(100,965)"," 	(72,886)"," 	(82,178)"," 	(69,467)"
51 -  PARKS,51190 - PARK COM REC WPCRC GENERAL,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL," 	(98,668)"," 	(118,625)"," 	(121,097)"," 	(114,528)"
30 -  FIRE,30240 - FIRE GENERAL PREVENTION,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE," 	(95,363)"," 	(103,890)"," 	(92,455)"," 	(135,419)"
45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Expense,58 - INTER DEPART BILLING,58140 - ID BILLING TO ENGINEERING," 	(95,279)"," 	(1,667)", 	(188), 	(550)
31 -  POLICE,31149 - TASK FORCE,Revenue,42 - INTERGOV REVENUES,42310 - LOCAL REVENUES OPERATING," 	(95,116)"," 	(1,871)", 	-   , 	-   
62 -  COMMUNITY DEVELOPMENT,62551 - CD DIVISION 27 PRGM ADMIN,Expense,58 - INTER DEPART BILLING,58120 - ID BILLING TO MUNICIPAL COURT," 	(91,643)", 	-   , 	-   , 	-   
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Revenue,42 - INTERGOV REVENUES,42410 - OTHER UNIT OF GOV REVENUES OP," 	(91,314)"," 	(179,816)"," 	(107,282)"," 	(80,188)"
51 -  PARKS,51210 - PARK MTC FOREST ADMIN,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE," 	(88,358)"," 	(93,389)", 	(28), 	(1)
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,58 - INTER DEPART BILLING,58131 - ID BILLING TO POLICE," 	(87,143)"," 	(211,410)"," 	(213,879)"," 	(276,915)"
31 -  POLICE,31102 - FIELD GENERAL OVERALL,Revenue,49 - TRANSFER IN,49123 - TRANSFER IN FROM GRANTS," 	(86,326)", 	-   , 	-   , 	-   
50 -  LIBRARY,50300751 - LIB COL RES & ACCESS CENTRAL,Revenue,43 - CHARGES FOR SERVICES,43110 - REPRODUCTION SERVICES," 	(85,935)"," 	(93,999)"," 	(92,631)"," 	(89,523)"
30 -  FIRE,30120 - FIRE MEDICAL PROGRAM GENERAL,Revenue,43 - CHARGES FOR SERVICES,43225 - SPECIAL DUTY," 	(83,384)"," 	(104,093)"," 	(128,038)"," 	(73,087)"
44 -  STREETS,44110 - ST REFUSE COLLECTION,Revenue,43 - CHARGES FOR SERVICES,43425 - REFUSE COLLECTION," 	(83,129)"," 	(144,417)"," 	(71,701)"," 	(32,220)"
31 -  POLICE,31165 - TRAINING SERVICES GENERAL,Revenue,42 - INTERGOV REVENUES,42210 - STATE REVENUES OPERATING," 	(80,000)"," 	(120,000)"," 	(130,000)"," 	(140,000)"
51 -  PARKS,51160 - PARK COM REC REC SERVICES,Revenue,43 - CHARGES FOR SERVICES,43520 - CATERING CONCESSIONS," 	(79,600)"," 	(57,090)"," 	(62,151)"," 	(85,741)"
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58165 - ID BILLING TO PLANNING," 	(79,364)"," 	(79,364)"," 	(79,364)"," 	(79,364)"
51 -  PARKS,51180 - PARK COM REC OLBRICH GENERAL,Revenue,42 - INTERGOV REVENUES,42310 - LOCAL REVENUES OPERATING," 	(73,065)"," 	(74,413)"," 	(77,568)"," 	(80,980)"
51 -  PARKS,51150 - PARK COM REC COM SERVICES,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL," 	(72,688)"," 	(100,224)"," 	(14,053)"," 	(14,114)"
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,58 - INTER DEPART BILLING,58180 - ID BILLING TO MONONA TERRACE," 	(65,340)"," 	(61,812)"," 	(63,024)"," 	(65,520)"
50 -  LIBRARY,50300751 - LIB COL RES & ACCESS CENTRAL,Revenue,42 - INTERGOV REVENUES,42410 - OTHER UNIT OF GOV REVENUES OP," 	(65,283)"," 	(66,801)"," 	(67,077)"," 	(67,748)"
45 -  TRAFFIC ENGINEERING,45500 - TE SIGNALS,Expense,57 - INTER DEPART CHARGES,57140 - ID CHARGE FROM ENGINEERING," 	(63,972)"," 	(49,280)"," 	(64,254)"," 	(82,808)"
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58160 - ID BILLING TO BUILDING INSPEC," 	(62,598)"," 	(62,598)"," 	(62,598)"," 	(62,598)"
45 -  TRAFFIC ENGINEERING,45500 - TE SIGNALS,Expense,57 - INTER DEPART CHARGES,57141 - ID CHARGE FROM FLEET SERVICES," 	(60,601)"," 	(93,501)"," 	(40,963)"," 	(50,181)"
51 -  PARKS,51190 - PARK COM REC WPCRC GENERAL,Revenue,43 - CHARGES FOR SERVICES,43535 - PROGRAM REVENUE," 	(58,824)"," 	(52,581)"," 	(69,855)"," 	(35,649)"
31 -  POLICE,31100 - POLICE FIELD,Revenue,43 - CHARGES FOR SERVICES,43225 - SPECIAL DUTY," 	(58,596)"," 	(1,623)", 	-   , 	-   
30 -  FIRE,30114 - FIRE HAZARDOUS INCIDENT TEAM,Revenue,42 - INTERGOV REVENUES,42410 - OTHER UNIT OF GOV REVENUES OP," 	(57,023)"," 	(61,862)"," 	(56,914)"," 	(45,007)"
51 -  PARKS,51170 - PARK COM REC GOODMAN POOL,Revenue,43 - CHARGES FOR SERVICES,43520 - CATERING CONCESSIONS," 	(56,546)"," 	(69,904)"," 	(52,557)"," 	(51,682)"
51 -  PARKS,51180 - PARK COM REC OLBRICH GENERAL,Revenue,43 - CHARGES FOR SERVICES,43525 - ADMISSIONS," 	(56,436)"," 	(76,853)"," 	(79,147)"," 	(86,926)"
51 -  PARKS,51170 - PARK COM REC GOODMAN POOL,Revenue,43 - CHARGES FOR SERVICES,43540 - MEMBERSHIPS," 	(56,200)"," 	(43,826)"," 	(42,420)"," 	(38,127)"
51 -  PARKS,51247 - PARK MTC PARK RANGERS,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE," 	(56,082)", 	(30), 	-   , 	-   
50 -  LIBRARY,50224 - LIB COMM ENGAGE ALL AGES,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS," 	(55,300)"," 	(190,463)"," 	(421,705)"," 	(24,667)"
60 -  BUILDING INSPECTION,60100 - BI INSPECTION,Revenue,43 - CHARGES FOR SERVICES,43190 - MISCELLANEOUS CHRGS FOR SERVIC," 	(54,635)"," 	(54,782)"," 	(54,345)"," 	(82,300)"
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58145 - ID BILLING TO TRAFFIC ENGINEE," 	(54,539)"," 	(54,540)"," 	(54,539)"," 	(54,539)"
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58163 - ID BILLING TO ECONOMIC DEVELO," 	(54,539)"," 	(54,539)"," 	(59,539)"," 	(59,539)"
50 -  LIBRARY,50100751 - LIB PUBLIC SERVICE CENTRAL,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS," 	(52,810)"," 	(96,302)"," 	(2,700)"," 	(6,010)"
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58144 - ID BILLING TO STREETS," 	(52,682)"," 	(55,152)"," 	(55,152)"," 	(55,152)"
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,58 - INTER DEPART BILLING,58185 - ID BILLING TO TRANSIT," 	(52,506)"," 	(1,142)", 	(616), 	(91)
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58191 - ID BILLING TO CDA," 	(51,209)"," 	(51,209)"," 	(51,209)"," 	(51,209)"
40 -  ENGINEERING,40145 - ENG STREETS DUTCH MILL PNR MNT,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE," 	(50,000)"," 	(23,509)"," 	(62,299)"," 	(45,395)"
45 -  TRAFFIC ENGINEERING,45200 - TE STLIGHT,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE," 	(47,566)"," 	(42,055)"," 	(78,575)"," 	(43,218)"
30 -  FIRE,30110 - FIRE GEN FIELD OP,Revenue,42 - INTERGOV REVENUES,42210 - STATE REVENUES OPERATING," 	(47,469)", 	-   , 	-   , 	-   
51 -  PARKS,51170 - PARK COM REC GOODMAN POOL,Revenue,43 - CHARGES FOR SERVICES,43531 - LESSONS," 	(46,996)"," 	(58,581)"," 	(67,252)"," 	(65,929)"
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58183 - ID BILLING TO SEWER," 	(46,917)"," 	(46,917)"," 	(46,917)"," 	(46,917)"
45 -  TRAFFIC ENGINEERING,45200 - TE STLIGHT,Revenue,43 - CHARGES FOR SERVICES,43430 - TRAFFIC PRIVATE ENTITY," 	(46,840)"," 	(20,194)"," 	(17,752)"," 	(10,771)"
51 -  PARKS,51230 - PARK MTC FACILITY MAINTENANCE,Revenue,48 - OTHER FINANCE SOURCE,48115 - TRADE IN ALLOWANCE," 	(45,800)"," 	(45,800)"," 	(46,300)"," 	(47,485)"
30 -  FIRE,30110 - FIRE GEN FIELD OP,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE," 	(44,871)"," 	(58,561)"," 	(41,825)"," 	(57,251)"
45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE," 	(44,205)"," 	(8,847)"," 	(8,166)"," 	(42,040)"
45 -  TRAFFIC ENGINEERING,45881 - TE PED BIKE SAFETY EDUCATION,Revenue,42 - INTERGOV REVENUES,42110 - FEDERAL REVENUES OPERATING," 	(44,007)"," 	(19,771)", 	-   , 	-   
50 -  LIBRARY,50100758 - LIB PUBLIC SERVICE SEQUOYA,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS," 	(42,446)", 	(220)," 	(4,092)", 	(100)
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58161 - ID BILLING TO COM DEV BLK GNT," 	(41,703)"," 	(41,703)"," 	(41,703)"," 	(41,703)"
31 -  POLICE,31110 - CANINE,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS," 	(41,645)"," 	(44,887)", 	-   , 	(500)
50 -  LIBRARY,50224 - LIB COMM ENGAGE ALL AGES,Revenue,42 - INTERGOV REVENUES,42410 - OTHER UNIT OF GOV REVENUES OP," 	(39,250)"," 	(19,251)"," 	(90,773)"," 	(9,300)"
50 -  LIBRARY,50400751 - LIB FACILITIES CENTRAL,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL," 	(38,971)"," 	(33,431)"," 	(43,663)"," 	(43,731)"
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58162 - ID BILLING TO COMMUNITY DEVEL," 	(38,090)"," 	(38,090)"," 	(38,090)"," 	(38,090)"
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58117 - ID BILLING TO INFORMATION TEC," 	(37,769)"," 	(37,769)", 	(969), 	(969)
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58182 - ID BILLING TO PARKING," 	(37,269)"," 	(37,269)"," 	(37,269)"," 	(37,269)"
50 -  LIBRARY,50222 - LIB COMM ENGAGE TEEN,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS," 	(37,000)"," 	(45,642)", 	-   , 	-   
45 -  TRAFFIC ENGINEERING,45500 - TE SIGNALS,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE," 	(36,529)"," 	(43,824)"," 	(66,999)"," 	(92,807)"
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,58 - INTER DEPART BILLING,58182 - ID BILLING TO PARKING," 	(36,300)"," 	(42,420)"," 	(38,784)"," 	(41,580)"
30 -  FIRE,30120 - FIRE MEDICAL PROGRAM GENERAL,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE," 	(35,083)"," 	(68,402)"," 	(65,906)"," 	(48,118)"
16 -  HUMAN RESOURCES,16300 - HR ORGANIZATIONAL & HEALTH DEV,Revenue,43 - CHARGES FOR SERVICES,43190 - MISCELLANEOUS CHRGS FOR SERVIC," 	(34,905)"," 	(25,190)"," 	(26,970)"," 	(9,390)"
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,58 - INTER DEPART BILLING,58151 - ID BILLING TO PARKS," 	(34,768)"," 	(1,623)"," 	(2,510)", 	(16)
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58116 - ID BILLING TO HUMAN RESOURCES," 	(32,867)"," 	(33,767)"," 	(33,767)"," 	(33,767)"
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,58 - INTER DEPART BILLING,58144 - ID BILLING TO STREETS," 	(32,334)"," 	(32,301)"," 	(35,693)"," 	(30,889)"
50 -  LIBRARY,50100751 - LIB PUBLIC SERVICE CENTRAL,Revenue,42 - INTERGOV REVENUES,42110 - FEDERAL REVENUES OPERATING," 	(32,147)"," 	(26,071)"," 	(26,379)"," 	(19,142)"
51 -  PARKS,51246 - PARK MTC CONSERVATION,Revenue,44 - LICENSES AND PERMITS,44290 - OTHER PERMITS," 	(31,835)"," 	(50,056)"," 	(24,186)"," 	(37,725)"
45 -  TRAFFIC ENGINEERING,45505 - TE SIGNALS MAINTENANCE,Expense,58 - INTER DEPART BILLING,58117 - ID BILLING TO INFORMATION TEC," 	(31,501)", 	-   , 	-   , 	-   
62 -  COMMUNITY DEVELOPMENT,62551 - CD DIVISION 27 PRGM ADMIN,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE," 	(31,344)"," 	(35,323)"," 	(46,800)"," 	(11,766)"
45 -  TRAFFIC ENGINEERING,45500 - TE SIGNALS,Revenue,42 - INTERGOV REVENUES,42210 - STATE REVENUES OPERATING," 	(28,665)"," 	(29,288)"," 	(94,632)"," 	(19,894)"
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58184 - ID BILLING TO STORMWATER," 	(28,536)"," 	(28,536)"," 	(28,536)"," 	(28,536)"
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,58 - INTER DEPART BILLING,58186 - ID BILLING TO WATER," 	(28,478)"," 	(4,600)", 	(41)," 	(14,233)"
50 -  LIBRARY,50400751 - LIB FACILITIES CENTRAL,Revenue,43 - CHARGES FOR SERVICES,43520 - CATERING CONCESSIONS," 	(27,621)"," 	(16,588)"," 	(16,143)"," 	(15,147)"
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58141 - ID BILLING TO FLEET SERVICES," 	(27,065)"," 	(27,065)"," 	(27,065)"," 	(27,065)"
51 -  PARKS,51230 - PARK MTC FACILITY MAINTENANCE,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE," 	(27,051)"," 	(43,300)"," 	(57,025)"," 	(12,003)"
62 -  COMMUNITY DEVELOPMENT,62471 - SENIOR CENTER,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL," 	(26,945)"," 	(24,566)"," 	(25,844)"," 	(23,449)"
45 -  TRAFFIC ENGINEERING,45200 - TE STLIGHT,Expense,57 - INTER DEPART CHARGES,57140 - ID CHARGE FROM ENGINEERING," 	(26,501)"," 	(23,211)"," 	(7,738)"," 	(24,863)"
51 -  PARKS,51180 - PARK COM REC OLBRICH GENERAL,Revenue,43 - CHARGES FOR SERVICES,43520 - CATERING CONCESSIONS," 	(25,678)"," 	(29,653)"," 	(32,470)"," 	(40,725)"
51 -  PARKS,51185 - PARK COM REC OLBRICH PK BEAUTI,Revenue,49 - TRANSFER IN,49150 - TRANSFER IN FROM PERMANENT," 	(25,478)"," 	(12,909)"," 	(13,650)", 	(100)
51 -  PARKS,51243 - PARK MTC CENTRAL PARKS,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL," 	(24,993)"," 	(25,312)"," 	(27,654)"," 	(23,531)"
44 -  STREETS,44220 - ST RECYCLING COLLECTION,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE," 	(24,829)"," 	(12,605)"," 	(14,971)"," 	(14,814)"
30 -  FIRE,30121 - FIRE MEDICAL PROGRAM STATE,Revenue,42 - INTERGOV REVENUES,42210 - STATE REVENUES OPERATING," 	(24,649)"," 	(28,347)"," 	(25,266)"," 	(22,656)"
30 -  FIRE,30251 - FIRE INSPECTION TANK PROGRAM,Revenue,42 - INTERGOV REVENUES,42210 - STATE REVENUES OPERATING," 	(24,610)"," 	(24,887)"," 	(28,602)"," 	(29,697)"
50 -  LIBRARY,50223 - LIB COM ENGAGE ADULT,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS," 	(24,592)"," 	(14,098)"," 	(24,600)", 	-   
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Revenue,42 - INTERGOV REVENUES,42310 - LOCAL REVENUES OPERATING," 	(24,442)"," 	(54,327)"," 	(18,288)"," 	(25,992)"
51 -  PARKS,51190 - PARK COM REC WPCRC GENERAL,Revenue,43 - CHARGES FOR SERVICES,43525 - ADMISSIONS," 	(24,427)"," 	(27,138)"," 	(7,186)"," 	(43,256)"
62 -  COMMUNITY DEVELOPMENT,62472 - SENIOR CENTER FOUNDATION,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE," 	(22,784)"," 	(20,809)"," 	(17,989)"," 	(16,619)"
45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Expense,58 - INTER DEPART BILLING,58185 - ID BILLING TO TRANSIT," 	(22,316)"," 	(19,477)"," 	(19,966)"," 	(13,279)"
65 -  PLANNING,65300 - PL METROPOLITAN PLANNING ORG,Revenue,42 - INTERGOV REVENUES,42310 - LOCAL REVENUES OPERATING," 	(21,828)"," 	(41,875)"," 	(15,391)", 	-   
50 -  LIBRARY,50223 - LIB COM ENGAGE ADULT,Revenue,42 - INTERGOV REVENUES,42410 - OTHER UNIT OF GOV REVENUES OP," 	(21,600)", 	-   , 	-   , 	-   
62 -  COMMUNITY DEVELOPMENT,62473 - SENIOR CENTER OASIS GRANT,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS," 	(21,532)", 	-   , 	-   , 	-   
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,58 - INTER DEPART BILLING,58150 - ID BILLING TO LIBRARY," 	(20,990)"," 	(23,028)"," 	(23,028)"," 	(23,940)"
50 -  LIBRARY,50300751 - LIB COL RES & ACCESS CENTRAL,Revenue,49 - TRANSFER IN,49124 - TRANSFER IN FROM OTHER RESTRIC," 	(20,000)"," 	(20,000)", 	-   , 	-   
