Incident,Date,Incident Type,Address,Updated
"Two Taken To Hospital Following Crash On Interestate Highway","12/11/2018","Vehicle","Westbound I-90, Madison, WI",""
"Person Getting Off Bus Smells Something Burning and Notices Smoke Coming From Home","12/06/2018","Structure","200 Block N. Owen Drive, Madison, WI 53705","Updated: 12/07/2018"
"Fire Breaks Out In UW Campus Laboratory","12/03/2018","Structure","1500 Block Engineering Drive, Madison, WI 53706",""
"Garage Fire Displaces Two On Offshore Drive","12/01/2018","Structure","6300 Block Offshore Drive, Madison, WI",""
"Pots Left On Stovetop Send Firefighters To Downtown Restaurant","11/30/2018","Smoke Scare","W. Mifflin Street, Madison, WI 53703",""
"Carbon Monoxide Linked To Running Vehicle","11/29/2018","Carbon Monoxide","Brompton Circle, Madison, WI",""
"Car Left Running Kicks Up Carbon Monoxide In West Side Home","11/27/2018","Carbon Monoxide","Wyota Avenue, Madison, WI",""
"Firefighters P.A.S.S. Along Fire Extinguisher Tips After Fire Breaks Out In North Side Home","11/27/2018","Cooking","Brown Lane, Madison, WI",""
"Noxious Odor Sends One To Hospital, Hazmat Team Called To Mobile Home Park","11/19/2018","Hazmat","Malibu Drive, Madison, WI",""
"Smoke Alarm Alerts Residents to Early Morning Fire","11/18/2018","Structure","6300 Block Alison Lane, Madison, WI","Updated: 11/19/2018"
""
"Occupant Extinguishes Cooking Fire With Lid Of A Frying Pan","11/17/2018","Cooking","100 Block E. Johnson Street, Madison, WI",""
"Fire Displaces Eleven From Northside Apartment Complex","11/14/2018","Structure","2300 Block Brentwood Parkway, Madison, WI","Updated: 11/16/2018"
"Towel Resting On Night Light Catches Fire","11/14/2018","Structure","6700 Block Village Park Drive, Madison, WI",""
"One Person Arrested, Charged With Arson At West Side Transit Site","11/09/2018","Structure","5600 Block Tokay Blvd, Madison, WI",""
"Carbon Monoxide Incident Prompts Evacuation Of Apartment Complex","11/09/2018","Carbon Monoxide","4700 Block Jenewein Road, Madison, WI",""
"Three Injured In Mineral Point Road Crash","11/08/2018","Vehicle","Mineral Point Road & Rose Road, Madison, WI",""
"Fire Breaks Out After Cook Steps Away From Stove","11/06/2018","Cooking","1100 Block Morraine View Drive, Madison, WI",""
"Engine 9 Responds To Vehicle Fire","11/03/2018","Vehicle","2700 Block University Avenue, Madison, WI",""
"Water Problem At Downtown Condo Traced To Tampered Standpipe System","11/03/2018","Water Leak","100 Block Wisconsin Avenue, Madison, WI",""
"Heavy Smoke Produced By Leaf Burning Sends Firefighters To West Side Home","11/01/2018","Outdoor","4800 Block Regent Street, Madison, WI",""
"Damaged Water Heater Causes Carbon Monoxide Leak","10/31/2018","Carbon Monoxide","100 Block Division Street, Madison, WI",""
"Horse Kicks Back, Sending One To Hospital","10/31/2018","EMS","2000 Block Linden Drive, Madison, WI",""
"Lightning Strike Scorches Phone System In Northside Condominiums","10/30/2018","Lightning Strike","Cherokee Circle, Madison, WI",""
"Firefighters Respond To Gas Leak On East Side","10/29/2018","Gas Leak","1100 Block E. Mifflin Street, Madison, WI",""
"Willy Street Crash Sends Two To Hospital","10/28/2018","Vehicle","Williamson Street & Ingersoll Street, Madison, WI",""
"Vehicle Flees After Striking Ambulance On East Washington Avenue","10/28/2018","Vehicle","E. Washington Avenue & Portage Road, Madison, WI",""
"One Injured In Collision With Tree","10/27/2018","Vehicle","2300 Block Prairie Road, Madison, WI",""
"Furnace Problem Kicks Up Carbon Monoxide In Northside Home","10/26/2018","Carbon Monoxide","1000 Block Monica Lane, Madison, WI",""
"Car Takes Off, Crashes Through Home, As Medics Attempt To Contact Driver","10/21/2018","Vehicle","10 Block Madeline Island, Madison, WI",""
"Stove Fire Sends Crews To East Side Residence","10/21/2018","Appliance","500 Block Walton Place, Madison, WI",""
"Ten Rescued From Hotel Elevator","10/20/2018","Elevator","600 Block Langdon Street, Madison, WI",""
"Firefighters Assist Woman Who Fell Inside Her Home","10/20/2018","Assist Citizen","1900 Block Atwood Avenue, Madison, WI",""
"Large Tree Limb Takes Down Power Lines, Garage","10/20/2018","Power lines down","4200 Block Doncaster Drive, Madison, WI",""
"Overheated Elevator Motor Sends Firefighters To Apartment Complex","10/19/2018","Elevator","1600 Block Fordem Ave, Madison, WI",""
"Firefighters Assist Child Locked In Vehicle","10/18/2018","Lock out/Lock in","300 Block Wisconsin Avenue, Madison, WI",""
"Discarded Cigarette Starts Fire In City Sewer","10/18/2018","Smoke Scare","200 Block W. Gorham Street, Madison, WI",""
"Fire Damages Construction Site On Manufacturers Drive","10/17/2018","Structure","6500 Block Manufacturers Drive, Madison, WI",""
"Beetles Caught In Light Fixture Cause Smoke Scare In Area Home","10/16/2018","Smoke Scare","1400 Block Vilas Avenue, Madison, WI",""
"Firefighters Respond To Carbon Monoxide Leak At Area Restaurant","10/15/2018","Carbon Monoxide","7000 Block Mineral Point Road, Madison, WI",""
"Incense Placed In Roll Of Toilet Paper Leads To Bathroom Fire","10/12/2018","Structure","800 Block Vernon Ave, Madison, WI",""
"Two Taken To Hospital Following Downtown Crash","10/11/2018","Vehicle","W. Johnson Street & Broom Street, Madison, WI 53703",""
"Firefighters Respond To Reports Of Smoke, Find Burned Pizzas and Intoxicated Occupant","10/10/2018","Cooking","1600 Block Lake Point Drive, Madison, WI",""
"Wash Machine Malfunction Sends Firefighters To Apartment Complex","10/10/2018","Appliance","500 Block University Ave, Madison, WI",""
"Driver Injured In Crash At Willy Street Intersection","10/08/2018","Vehicle","600 Block Williamson Street, Madison, WI 53703",""
"Car Pulls Away From Gas Pump, Leading To A Fuel Spill","10/08/2018","Fuel Spill","3800 Block East Washington Ave, Madison, WI",""
"Woman Treated, Transported After Being Struck By Vehicle","10/05/2018","EMS","Langdon Street & Henry Street, Madison, WI",""
"Charcoal May Have Contributed To Stovetop Fire","10/04/2018","Cooking","2900 Block Curry Parkway, Madison, WI",""
"Firefighters Pinpoint Carbon Monoxide Leak To Oven","10/02/2018","Carbon Monoxide","2000 Block Monroe Street, Madison, WI",""
"Nakoma Road Fire Under Investigation","09/28/2018","Structure","3800 Block Nakoma Road, Madison, WI","Updated: 10/02/2018"
"Straw Catches Fire On Back Of Freight Liner","09/27/2018","Vehicle","County Highway AB & US Highway 12, Madison, WI",""
"Downtown Residents Experience Similar Symptoms; Bear Repellant To Blame","09/25/2018","Odor Investigation","400 Block W. Johnson Street, Madison, WI 53703",""
"Rollover Crash On University Avenue Sends One To Hospital","09/24/2018","Vehicle","University Avenue & University Bay Drive, Madison, WI",""
"Vehicle Fire Traced To Improperly Stowed Gas Cylinder","09/24/2018","Vehicle","S. Stoughton Road & E. Broadway, Madison, WI",""
"Carelessly Discarded Cigarettes Start Two Balcony Fires On East Side","09/22/2018","Smoking","1600 Block Fordem Ave, Madison, WI",""
"East Side Gas Leak Prompts Reminder To Call Digger's Hotline","09/22/2018","Gas Leak","5300 Block Forge Drive, Madison, WI",""
"Occupant Grills Under Garage Overhang, Melting Door","09/15/2018","Structure","900 Block N. Thompson Dr, Madison, WI 53704",""
"Car Crashes Into East Side Business, Driver Injured","09/15/2018","Vehicle","2800 Block E. Washington Ave, Madison, WI",""
"Ladder Company 6 Assists Man Who Fell While Mowing The Lawn","09/12/2018","EMS","Arbor Hills Neighborhood, Madison, WI",""
"Carbon Monoxide Leak Traced To New Oven","09/12/2018","Carbon Monoxide","Dudgeon-Monroe Neighborhood, Madison, WI",""
"Moped Fire In Underground Garage Contained By Automatic Sprinkler","09/12/2018","Vehicle","100 Block N. Bedford Street, Madison, WI",""
"Neighbor Puts A Stop To Fire Inside Oven","09/08/2018","Cooking","700 Block Braxton Place, Madison, WI",""
"Engine 8 Called To Vehicle Fire On the Interstate","09/08/2018","Vehicle","I-90 (westbound), Madison, WI",""
"Memorial Union Evacuated Briefly Thursday Night; No Gas Leak Found","09/06/2018","Gas Leak","800 Block Memorial Union, Madison, WI 53706",""
"Paramedics Deliver Two Babies In Two Days","09/06/2018","EMS","Madison, WI",""
"Stinky Smoke Summons Engine 5 To Unattended Backyard Fire","09/06/2018","Outdoor","600 Block Merryturn Road, Madison, WI",""
"Lake Rescue Team Responds To Juvenile In Distress On Lake Monona","09/04/2018","Lake Rescue","Lake Monona, Madison, WI",""
"Smoke-Charged Electrical Outlet Likely The Result Of Lightning Strike","09/03/2018","Electrical","3900 Block Cosgrove Drive, Madison, WI",""
"One Taken To Hospital Following Rollover Crash","09/01/2018","Vehicle","7600 Block Farmington Way, Madison, WI",""
"Dishwasher Fire Causes Damage, Displacing One On East Side","08/30/2018","Appliance","500 Block Meadowlark Drive, Madison, WI",""
"Maggot-Killing Plot Turns Toxic After Household Cleaners Combine","08/28/2018","Hazmat","Aztalan Drive, Madison, WI",""
"Carbon Monoxide Leak Found At Downtown Restaurant","08/25/2018","Carbon Monoxide","200 Block State Street, Madison, WI 53703",""
"Vehicle Fire Briefly Threatens Downtown Apartment Building","08/21/2018","Vehicle","200 Block N. Pinckney Street, Madison, WI",""
"Search Underway For Missing Man Swept Away In West Side Floods","08/20/2018","Assist Citizen","Piping Rock Road & Chapel Hill Road, Madison, WI 53711","Updated: 08/21/2018"
"Madison Fire Department Responds To Over 100 Flood-Related Emergencies","08/20/2018","Special Rescue","Madison, WI",""
"Early Morning House Fire on Madison's West Side","08/19/2018","Structure","4600 Block Gray Fox Trail, Madison, WI","Updated: 08/20/2018"
"Carpet Cleaning Solution Kicks Up Carbon Monoxide At University Ave. Apartments","08/14/2018","Carbon Monoxide","2300 Block University Avenue, Madison, WI",""
"Neighbor Alerts Firefighters To Smoking Futon","08/13/2018","Structure","200 Block Waubesa Street, Madison, WI",""
"Fire At Greystone Condominiums Displaces 18","08/13/2018","Structure","700 Block Cricket Lane, Madison, WI",""
"Driver Injured After Crashing Into Building","08/11/2018","Vehicle","3700 Block University Avenue, Madison, WI",""
"Illegal Mattress Burning Sends Engine 4 To Lathrop Street","08/07/2018","Unauthorized Burning","100 Block Lathrop Street, Madison, WI",""
"Fire Displaces Multiple East Side Residents, Cause Under Investigation","08/07/2018","Structure","5000 Block Pendleton Drive, Madison, WI",""
"Cooking Fire Prompts Safety Reminders For Dealing With Oil-Based Flames","08/05/2018","Cooking","Siggelkow Road, Madison, WI",""
"Engine 4 Discovers Garage Fire On Allen Street, Cause Under Investigation","07/31/2018","Structure","200 Block N. Allen Street, Madison, WI","Updated: 07/31/2018"
"Nobody Injured In Car-Versus-Building Crash","07/30/2018","Vehicle","500 Block S. Midvale Blvd, Madison, WI",""
"Two Injured In Rollover Crash","07/28/2018","Vehicle","East Pass & S. Stone Creek Circle, Madison, WI",""
"Fire Found Between Orpheum Theater and Parking Ramp; Cause Unknown","07/27/2018","Structure","200 Block N. Carroll Street, Madison, WI",""
"Bystander Extinguishes Fire Early, Saving Vehicle and Food Cart","07/26/2018","Vehicle","2900 Block East Washington Avenue, Madison, WI",""
"Clothes Catch Fire, Dryer Removed From East Side Home","07/24/2018","Appliance","500 Block North Star Drive, Madison, WI",""
"Crews Respond To Significant Gasoline Spill On West Side","07/24/2018","Hazmat","7700 Block Mineral Point Road, Madison, WI",""
"No Damage Or Injuries Following Contained Fireplace Explosion","07/19/2018","Appliance","6200 Block Seven Pines Avenue, Madison, WI",""
"Fire Totals Mobile Food Cart","07/18/2018","Vehicle","600 Block Post Road, Madison, WI",""
"Grease Fire Melts Vinyl Siding","07/18/2018","Structure","5400 Block Katie Lane, Madison, WI",""
"Frayed Electrical Wires Lead To Fire In East Side Attic","07/16/2018","Structure","1100 Block Mifflin Street, Madison, WI",""
"Laptop Pops, Smokes Up Downtown Apartment","07/16/2018","Explosion","300 Block W. Main Street, Madison, WI",""
"Automatic Sprinkler Extinguishes Fire At FedEx Facility","07/15/2018","Structure","3900 Block Hanson Road, Madison, WI",""
"Engine 4 Responds To Basement Gas Leak","07/13/2018","Gas Leak","1100 Block Grant Street, Madison, WI",""
"Rage Against the Slot Machine Sends Paramedics To Ho-Chunk Casino","07/12/2018","EMS","4000 Block Evan Acres Road, Madison, WI",""
"Branch Smolders After Falling Onto Power Line","07/12/2018","Electrical","2900 Block Curry Parkway, Madison, WI",""
"Grease Spill Ignites Grill Fire On Barby Lane","07/11/2018","Cooking","4100 Block Barby Lane, Madison, WI",""
"Smoke Coming From Machine Sends Firefighters To West Side Princeton Club","07/10/2018","Electrical","8000 Block Watts Road, Madison, WI",""
"Fire In Commercial Sweeper Contained At Camp Randall Stadium","07/09/2018","Appliance","1400 Block Monroe Street, Madison, WI",""
"Dump Truck Yanks Power Line from Olin Avenue Home","07/09/2018","Electrical","800 Block W. Olin Avenue, Madison, WI",""
"Engine 10 Sent To Repeated Fires In Northside Pedestrian Tunnel","07/07/2018","Trash/Rubbish","Troy Drive & School Road, Madison, WI",""
"Residents Were Displaced After An Early Morning Fire On The 500 Block of West Washington Avenue","07/07/2018","Structure","500 Block West Washington, Madison, WI",""
"Box Of Fireworks Catches Fire In Park Shelter","07/06/2018","Trash/Rubbish","2300 Block Revival Ridge, Madison, WI",""
"Discarded Fireworks Start Fire, Causing Damage To Nearby Fence","07/04/2018","Trash/Rubbish","400 Block Moorland Road, Madison, WI",""
"Two Injured In East Washington Avenue Crash","07/04/2018","Vehicle","900 Block E. Washington Ave, Madison, WI",""
"Fire In Downtown Apartment Extinguished By Automatic Fire Sprinkler","07/03/2018","Structure","100 Block S. Mills Street, Madison, WI",""
"Woman Locked In Basement Pulls Fire Alarm To Call For Help","07/02/2018","Lock out/Lock in","2300 Block S. Park Street, Madison, WI",""
"Firefighters Contain Damage Caused By Fire In Bathroom Vent","07/01/2018","Structure","100 Block Craig Avenue, Madison, WI",""
"Fire Damages Vehicle In Walmart Parking Lot","06/30/2018","Vehicle","700 Block Watts Road, Madison, WI",""
"Driver Pinned, Injured In Single-Vehicle Crash","06/26/2018","Vehicle","200 Block Cottage Grove Road, Madison, WI",""
"Apartment Fire Displaces one Resident","06/19/2018","Structure","2000 Block Taft Street, Madison, WI",""
"Engine 12 Tackles Vehicle Fire On Beltline Highway","06/18/2018","Vehicle","U.S. Highway 12 Westbound & Gammon Road, Madison, WI",""
"Kayaker OK After Seeking Medical Attention On Lake Wingra","06/18/2018","EMS","Arboretum Drive & Balden Street, Madison, WI",""
"Firefighters Rescue Woman Stranded In A Tree","06/14/2018","Assist Citizen","400 Block Henry Mall, Madison, WI 53706",""
"Burned Leaves Send Firefighters To Northside Home","06/14/2018","Outdoor","1200 Block Northport Drive, Madison, WI",""
"Working Carbon Monoxide Alarm Prompts Household Evacuation Overnight","06/12/2018","Carbon Monoxide","Shorewood Hills, WI 53705",""
"Crews Respond To Fire In Blooming Grove","06/12/2018","Outdoor","3300 Block Meier Road, Madison, WI",""
"Diesel Leak Discovered At East Side Construction Site","06/10/2018","Fuel Spill","S. Fair Oaks Avenue & Dixon Street, Madison, WI",""
"Ten Rescued From Downtown Elevator","06/09/2018","Elevator","100 Block S. Brooks Street, Madison, WI",""
"Investigators Looking Into Cause Of Fire At The Old Fashioned","06/08/2018","Structure","10 Block N. Pinckney, Madison, WI 53703",""
"Burned Food Causes Smoke Scare In Downtown Apartment","06/01/2018","Smoke Scare","200 Block Lakelawn Place, Madison, WI",""
"Two-Vehicle Crash Ties Up East Washington Intersection; One Taken To Hospital","05/29/2018","Vehicle","East Washington Ave. & First Street, Madison, WI",""
"Kitchen Fire Caused By Unattended Cooking; Nobody Injured","05/28/2018","Cooking","4200 Block Dwight Drive, Madison, WI",""
"Pickup Truck Totaled After Catching Fire On Beltline","05/28/2018","Vehicle","U.S. Highway 12 (Eastbound), Madison, WI",""
"Grease Fire Damages West Side Kitchen","05/25/2018","Cooking","5700 Block Balsam Road, Madison, WI",""
"Ladder 2 Responds To Power Pole Fire","05/24/2018","Outdoor","6000 Block Research Park Blvd, Madison, WI",""
"Fire Crew Issues Reminder About Safe Grilling","05/22/2018","Cooking","1500 Block Trailsway, Madison, WI",""
"Station 7 Crews Respond To Rollover Crash","05/19/2018","Vehicle","Schroeder Road & S. Gammon Road, Madison, WI",""
"Lightning Strikes Two Separate Structures, Minutes Apart","05/14/2018","Lightning Strike","6000 Block Pinelake Drive and 7000 WIldberry Drive, Madison, WI",""
"Cooking Fire Displaces Family, Sends Two To Hospital","05/11/2018","Cooking","1900 Block Beld Street, Madison, WI 53713",""
"Woman Injured While Attempting To Fix Dent Using Open Flame","05/10/2018","Vehicle","Greening Lane, Madison, WI 53705",""
"Two Adults, One Child Transported after Rollover Accident","05/09/2018","Vehicle","1400 Block I-90 WB, Madison, WI",""
"Two People Trapped on Roof by Apartment Fire","05/08/2018","Structure","200 Block North Street, Madison, WI",""
"Kayaker, Two Children Rescued From Lake Monona","05/06/2018","Lake Rescue","Lake Monona, Madison, WI",""
"Engine 9 Responds To Vehicle Fire Outside Eagle Heights","05/05/2018","Vehicle","900 Block Eagle Heights Drive, Madison, WI 53706",""
"Engine 10 Puts Out Fire In Northport Apartment","05/05/2018","Structure","1900 Block Northport Drive, Madison, WI",""
"Stranded Boaters Get Helping Hand From MFD Lake Rescue Team","05/05/2018","Lake Rescue","Upper Mud Lake, Madison, WI 53716",""
"Madison Resident Comes Home to Find Fire in Garage","05/04/2018","Structure","1400 Block Nevada Road, Madison, WI",""
"One Injured After Vehicle Crashes Into East Side Restaurant","05/04/2018","Vehicle","S. Dickinson Street & Williamson Street, Madison, WI",""
"Smoking Materials Cause Staircase To Smolder","05/01/2018","Structure","900 Block E. Johnson Street, Madison, WI 53703",""
"Self-Cleaning Oven Causes Smoke Scare on Nakoosa Trail","05/01/2018","Smoke Scare","4300 Block Nakoosa Trail, Madison, WI",""
"Mulch Fire Caught Early Outside Sequoya Library","04/30/2018","Outdoor","4300 Block Tokay Blvd, Madison, WI",""
"Smoke Alarm Wakes Sleeping Occupant, Who Discovers Fire In Kitchen","04/28/2018","Cooking","200 Block N. Ingersoll Street, Madison, WI",""
"MFD Responds To String Of Outdoor Fires","04/27/2018","Outdoor","Madison, WI",""
"Fire Discovered, Extinguished At Downtown Restaurant","04/26/2018","Appliance","300 Block State Street, Madison, WI 53703",""
"Two-Vehicle Crash Results In Fire, Injury","04/25/2018","Vehicle","Commercial Avenue & Felland Road, Madison, WI",""
"Ladder 2 Responds To Dumpster Fire At Westgate Mall","04/24/2018","Trash/Rubbish","Westgate Mall, Madison, WI",""
"Flames From Grill On Balcony Send Firefighters To State Street","04/22/2018","Cooking","500 Block State Street, Madison, WI 53703",""
"Laundry Room Fire Under Investigation","04/20/2018","Structure","4700 Block Jenewein Road, Madison, WI",""
"Creosote Buildup Causes Small Chimney Fire","04/17/2018","Chimney","2700 Block Union Street, Madison, WI",""
"Elevator Reportedly Drops Two Floors, Injuring One","04/14/2018","Elevator","400 Block Frances Street, Madison, WI 53703",""
"Two Injured In Three-Car Crash","04/14/2018","Vehicle","John Nolen Drive & Rimrock Road, Madison, WI 53704",""
"2 Injured, 5 Displaced After Fire On Schroeder Road","04/14/2018","Structure","6700 Block Schroeder Road, Madison, WI 53711",""
"Clothes Catch Fire At Campus Dorm, Injuring One","04/08/2018","Cooking","1500 Block Tripp Circle, Madison, WI 53706",""
"Garage Fire Displaces Family","04/03/2018","Structure","6100 Block Dominion Dr, Madison, WI 53718",""
"Grilling On Balconies Poses Fire Danger And Risk To Residents","03/30/2018","Outdoor","East Side, Madison, WI",""
"Wayward Embers Ignite Grass Fire On West Side","03/30/2018","Outdoor","Shadow Ridge Trail, Madison, WI 53562",""
"Crews Tackle Large Mulch Fire In Town of Blooming Grove","03/28/2018","Outdoor","3500 Block Meier Road, Blooming Grove, WI 53718",""
"Semis Catch Fire Outside East-Side Bakery","03/26/2018","Vehicle","3400 Block East Washington Ave, Madison, WI 53704",""
"Fire Damages West-Side Home","03/25/2018","Structure","2300 Block Mica Road, Madison, WI","Updated: 03/26/2018"
"Firefighters Douse Large Pile of Hot Wood Chips","03/24/2018","Smoke Scare","Highbury Road & Tally Ho Lane, Shorewood Hills, WI 53705",""
"Improperly Discarded Smoking Materials Causes $250,000 in Damage","03/21/2018","Structure","4500 Block Hamlet Place, Madison, WI",""
"Stove-Top Burner Ignites Grease Drippings","03/19/2018","Cooking","6700 Block Schroeder Road, Madison, WI 53719",""
"Crews Extinguish Several Small Brush and Grass Fires.","03/18/2018","Outdoor","5600 Block Fen Oak Drive, Madison, WI 53718",""
"Crews Respond to Early Morning Structure Fire","03/18/2018","Structure","4200 Block Doncaster Dr, Madison, WI 53711",""
"Worker Rescued From Confined Space At MGE Power Plant","03/15/2018","Special Rescue","700 Block E. Main Street, Madison, WI 53703",""
"Two Suffer Fire-Related Injuries On Commerce Drive","03/14/2018","Vehicle","400 Block Commerce Drive, Madison, WI 53719",""
"Man Injured After Grabbing Hot Utensil From Stovetop","03/12/2018","Excessive heat/scorch","100 Block S. Franklin Street, Madison, WI 53703",""
"Ladder 2 Responds to Water Leak At West Towne Mall","03/10/2018","Water Leak","West Towne Mall, Madison, WI",""
"Ten Rescued From Downtown Elevator","03/08/2018","Elevator","400 Block W. Gorham Street, Madison, WI 53703",""
"Wash Machine Malfunction Causes Water Leak In East Side Building","03/08/2018","Water Leak","700 Block N. Thompson Drive, Madison, WI",""
"Smoke Alarm Alerts Occupant To Fire Brewing In Kitchen","03/08/2018","Cooking","1800 Block Cameron Drive, Madison, WI",""
"Soldering Project Ignites Small Fire In Area Home","03/07/2018","Structure","4000 Block Chippewa Drive, Madison, WI",""
"All Residents Displaced After Fire In Apartment Building","03/05/2018","Structure","2900 Block Commercial Avenue, Madison, WI 53704",""
"Worker Rescued From Skid Loader Crashed in Trench","03/03/2018","Special Rescue","700 Block West Dayton Street, Madison, WI",""
"Fire Damages Eastside Businesses","02/25/2018","Structure","2000 Block Atwood Avenue, Madison, WI","Updated: 03/01/2018"
"Engine 4 Responds To Small Electrical Fire","02/21/2018","Electrical","N. Allen Street, Madison, WI",""
"Natural Gas Smell Reported and Caught Early In East Side Residence","02/21/2018","Gas Leak","1300 Block Rutledge, Madison, WI",""
"Vehicle Fire Extinguished In Downtown Parking Ramp","02/20/2018","Vehicle","100 Block E. Main Street, Madison, WI 53703",""
"Man Extinguishes Vehicle Fire With Help From Local Restaurant","02/18/2018","Vehicle","300 Block W. Washington Ave, Madison, WI 53703",""
"Burnt Food Sends Firefighters To Downtown Apartment","02/18/2018","Cooking","200 Block N. Pinckney St, Madison, WI 53703",""
"Firefighters Respond To Steam Leak At Campus Bookstore","02/15/2018","Water Leak","700 Block State Street, Madison, WI 53706",""
"Car Starts On Fire While Out For Test Drive","02/15/2018","Vehicle","2600 Block Fish Hatchery Road, Madison, WI 53713",""
"Fire Crews Respond to Early Morning Vehicle Fires","02/15/2018","Vehicle","W. Main Street and S. Bedford Street, Madison, WI 53703","Updated: 02/16/2018"
"Smoke Fills Downtown Apartment, Hallway; Burning Of Sandalwood To Blame","02/14/2018","Smoke Scare","600 Block W. Doty Street, Madison, WI 53703",""
"Broken Water Pipe Displaces One","02/11/2018","Water Leak","500 Block Northport Drive, Madison, WI",""
"Residential Fire on Southside","02/10/2018","Structure","4200 Block Sheffield Ave, Madison, WI 53711","Updated: 02/19/2018"
"Engine 1 Called To Rescue Stranded Dog","02/10/2018","Animal rescue","100 Block N. Butler Street, Madison, WI 53703",""
"Firefighters Respond To Smoke Scare At East Side Apartment","02/09/2018","Smoke Scare","10 Block Dempsey Road, Madison, WI",""
"Firefighters Provide Scene Safety Following Gas Line Rupture","02/08/2018","Gas Leak","4800 Block Hermsmeier Lane, Madison, WI",""
"Alarm Investigation Reveals Fire In Downtown Kitchen","02/07/2018","Alarm Investigation","100 Block W. Gilman Street, Madison, WI 53703",""
"Man Dies Following Serious Crash On Sherman Avenue","02/06/2018","Vehicle","400 Block N. Sherman Ave, Madison, WI",""
"Leaky Pipe Leads Firefighters To Discover Disabled Fire Alarm System","02/06/2018","Water Leak","3000 Block Cimarron Trail, Madison, WI",""
